,ticker,date,open,high,low,close,volume,dividend,split,adj_close,sma,rsi,slowd,slowk,roc,willr,std,mom,adx,obv,atr,cci,macd,trix,next_close,direction
84,SPY,2010-11-05,122.3400,122.9200,122.1800,122.7200,180591242,0.0000,1.0000,100.8255,119.0500,79.9947,90.2551,97.1722,3.7538,-2.8986,2.356650000000002,4.4400,22.1201,3759395029.0000,1.4264,232.7585,1.7208,0.1864,122.4900,-1
85,SPY,2010-11-08,122.3400,122.6900,121.9400,122.4900,155551735,0.0000,1.0000,100.6365,119.4614,77.8005,95.6474,95.0311,4.9345,-7.1074,2.4919500000000028,5.7600,23.1343,3603843294.0000,1.3802,162.3698,1.8193,0.1944,121.6100,-1
86,SPY,2010-11-09,122.8200,122.9500,121.1200,121.6100,186006607,0.0000,1.0000,99.9135,119.7286,69.9005,92.5853,85.5526,3.1730,-23.3449,2.5266499999999965,3.7400,23.2313,3417836687.0000,1.4124,106.9985,1.8056,0.2005,122.1000,1
87,SPY,2010-11-10,121.5800,122.1600,120.6600,122.1000,220587229,0.0000,1.0000,100.3161,120.0121,71.6281,85.9811,77.3597,3.3607,-14.9385,2.5877499999999998,3.9700,22.8785,3638423916.0000,1.4186,77.2386,1.8134,0.2056,121.6400,-1
88,SPY,2010-11-11,121.0500,121.8200,120.6800,121.6400,157659616,0.0000,1.0000,99.9382,120.2471,67.6998,74.8034,61.4978,2.7799,-23.0228,2.5600999999999985,3.2900,22.5509,3480764300.0000,1.4187,55.2068,1.7621,0.2083,120.2000,-1
89,SPY,2010-11-12,120.8200,121.3500,119.6500,120.2000,238930528,0.0000,1.0000,98.7551,120.3543,57.1360,60.8345,43.6460,1.2637,-48.3304,2.478650000000002,1.5000,21.2791,3241833772.0000,1.4595,8.8732,1.5869,0.2060,120.0300,-1
90,SPY,2010-11-15,120.5800,121.0500,119.9800,120.0300,163635229,0.0000,1.0000,98.6154,120.4479,56.0245,42.9342,23.6589,1.1034,-51.3181,2.3898999999999972,1.3100,20.0981,3078198543.0000,1.4317,0.8329,1.4181,0.1996,118.1600,-1
91,SPY,2010-11-16,119.2900,119.4900,117.5900,118.1600,299705738,0.0000,1.0000,97.0790,120.4321,45.5322,26.9521,13.5515,-0.1858,-89.3657,2.421849999999999,-0.2200,20.0861,2778492805.0000,1.5037,-98.0829,1.1204,0.1867,118.2200,1
92,SPY,2010-11-17,118.2100,118.7100,117.8600,118.2200,172013797,0.0000,1.0000,97.1283,120.4193,45.8824,16.7236,12.9605,-0.1520,-88.2463,2.446949999999994,-0.1800,20.0751,2950506602.0000,1.4570,-103.9000,0.8793,0.1699,119.9600,1
93,SPY,2010-11-18,119.3600,120.3900,119.3500,119.9600,197429267,0.0000,1.0000,98.5579,120.5243,54.9321,18.8816,30.1327,1.2406,-55.7836,2.323450000000001,1.4700,18.6846,3147935869.0000,1.5080,-29.8033,0.8191,0.1545,120.2900,1
94,SPY,2010-11-19,119.9000,120.3400,119.2500,120.2900,156802316,0.0000,1.0000,98.8290,120.6500,56.4206,31.6933,51.9867,1.4849,-49.6269,2.175449999999998,1.7600,17.4660,3304738185.0000,1.4781,-33.4405,0.7890,0.1411,120.1900,-1
